x,y,strain,r
1.0482569015683771,1.6552380952380936,ss,2.0
1.0463223334043006,1.4457142857142848,ss,2.0
1.0442381662053797,1.2780952380952382,ss,2.0
1.041707472855014,1.0685714285714294,ss,2.0
1.039027748208076,0.8590476190476188,ss,2.0
1.0363473138882977,0.7019047619047605,ss,2.0
1.033368533106238,0.5657142857142858,ss,2.0
1.030687672982755,0.4400000000000013,ss,2.0
1.0275594351004187,0.3352380952380951,ss,2.0
1.024952380952381,0.261904761904761,ss,2.0
1.0224943581009156,0.1885714285714268,ss,2.0
1.0195140160386065,0.1676190476190484,ss,2.0
1.016533957845433,0.1257142857142845,ss,2.0
1.0135541835213966,0.0628571428571422,ss,2.0
1.0102754949968065,0.0628571428571422,ss,2.0
1.0068480590447804,0.0419047619047621,ss,2.0
1.0031225604996097,0.0209523809523801,ss,2.0
1.0002912497338727,0.0,ss,2.0
1.012149343807213,0.055645953448641,ss,0.75
1.0163725852426877,0.0870745248772095,ss,0.75
1.020637890122489,0.1049811374475098,ss,0.75
1.0251610409977685,0.1521866325005358,ss,0.75
1.029152120260132,0.1588709923431306,ss,0.75
1.033029733837224,0.1918028736158241,ss,0.75
1.0357924152309583,0.2239970816428265,ss,0.75
1.037941339015808,0.236371983771086,ss,0.75
1.0418243540624634,0.2681763826606875,ss,0.75
1.04438775155595,0.2999807815502873,ss,0.75
1.047328128774115,0.3357607303010876,ss,0.75
1.0502683982683982,0.3794917787742893,ss,0.75
1.05325705886934,0.4294701198865187,ss,0.75
1.0560355040093334,0.490807174887891,ss,0.75
1.0589755311248823,0.5524281977364929,ss,0.75
1.0619404484418085,0.6321600588416736,ss,0.75
1.064880161362702,0.7169717892139396,ss,0.75
1.0676815328806066,0.8088511637838991,ss,0.75
1.070482712889388,0.9148658267492332,ss,0.75
1.073421994914754,1.0314819560111026,ss,0.75
1.076386107294896,1.170626201153107,ss,0.75
1.0793248955858032,1.3236848708093092,ss,0.75
1.0822635492218582,1.4866824151185138,ss,0.75
1.0852270002970583,1.674637578000807,ss,0.75
1.0880269654198385,1.8703229767243208,ss,0.75
1.0909647572648382,2.0969293188127267,ss,0.75
1.093763974305105,2.3478306878306885,ss,0.75
1.0967009103437098,2.6376040999359383,ss,0.75
