gen0,gen1,gen2,gen3,gen4,gen5,gen6,gen7,gen8,gen9,gen10,gen11,gen12,gen13,gen14,gen15,gen16,gen17,gen18,gen19,gen20,gen21,gen22,gen23,gen24,gen25,gen26,gen27,gen28,gen29,gen30,gen31,gen32,gen33,gen34,gen35,gen36,gen37,gen38,gen39,gen40,gen41,gen42,gen43,gen44,gen45,gen46,gen47,gen48,gen49
6,8,3,1,13,7,5,11,6,4,15,13,6,17,4,13,26,3,14,13,7,32,13,1,15,11,13,22,4,17,13,7,16,5,18,1,25,17,20,20,21,11,11,9,19,15,26,11,19,8
5,3,11,12,13,1,3,7,9,9,14,16,3,5,13,17,4,12,15,19,1,3,3,19,9,10,6,5,9,1,17,11,17,13,9,11,5,15,15,15,9,9,14,9,13,12,5,5,1,19
6,9,7,3,5,11,22,3,11,22,9,7,3,8,9,7,18,18,41,13,17,44,17,13,8,9,8,13,17,14,13,23,25,5,16,5,10,1,9,10,33,19,15,15,13,12,19,39,9,7
8,4,4,9,9,10,6,9,7,2,9,11,31,7,5,15,11,9,3,16,7,3,1,13,13,15,9,15,8,9,18,7,25,15,17,7,17,20,11,3,1,1,1,3,13,17,17,7,6,14
5,1,14,5,8,5,8,7,9,21,7,15,13,1,17,19,13,8,31,11,31,13,10,5,20,5,8,3,1,15,15,32,1,5,14,5,1,3,21,17,7,9,13,1,11,13,15,16,19,7
6,4,5,15,11,12,3,5,9,17,6,13,12,9,14,4,15,9,4,7,19,11,9,7,6,8,12,7,17,15,13,3,30,12,19,18,3,24,17,17,21,18,17,8,9,9,15,13,20,13
5,5,3,3,9,10,12,1,5,9,3,1,9,11,11,1,13,13,1,5,9,11,16,8,11,10,5,15,3,7,7,7,5,25,5,19,13,5,7,13,11,11,18,10,13,11,12,13,13,7
5,7,8,6,5,13,1,11,13,1,14,12,9,8,9,7,16,7,17,6,1,13,19,19,17,9,18,17,15,17,5,20,5,5,22,15,11,11,15,13,11,15,15,16,23,31,25,5,7,23
5,7,10,9,8,12,8,9,5,16,19,11,3,9,16,7,5,7,11,7,11,11,11,3,19,1,12,8,9,2,15,13,8,1,1,15,16,17,9,15,17,9,3,9,19,3,17,7,42,21
9,9,7,6,16,11,7,9,1,9,1,13,20,9,9,9,13,11,13,21,21,3,8,23,5,11,27,17,3,9,15,16,5,13,18,6,9,10,17,18,9,21,17,21,15,3,27,14,2,15
5,7,14,9,5,9,5,22,8,12,4,15,14,7,7,11,19,14,11,18,12,13,12,13,7,6,11,15,5,16,15,11,16,3,9,13,18,22,3,5,13,11,9,3,5,3,17,15,33,11
9,7,6,3,1,9,9,12,7,7,12,9,9,11,3,11,12,2,10,17,9,7,9,13,11,7,17,17,8,12,1,16,6,7,16,5,5,12,9,21,13,8,13,35,14,19,14,19,21,21
3,3,3,3,9,7,8,18,18,6,1,18,13,6,12,15,14,11,3,1,20,5,20,5,13,9,7,13,18,3,7,3,17,17,9,11,4,9,12,9,3,7,3,6,10,23,9,11,17,13
1,11,7,9,5,6,9,11,3,32,8,3,14,7,5,9,18,7,28,10,3,26,22,7,8,12,5,4,7,5,3,7,7,18,18,15,19,13,7,5,5,18,7,9,17,13,9,1,10,3
6,3,11,5,17,7,5,22,11,5,13,8,17,23,15,4,11,1,11,15,12,4,7,5,10,25,22,13,3,3,3,15,5,3,11,13,15,13,5,13,7,20,1,27,17,11,26,21,7,13
5,3,1,9,3,5,11,10,3,9,7,3,12,15,11,1,4,13,26,21,9,1,7,16,11,3,9,23,13,10,2,13,12,13,2,3,3,15,22,9,17,13,21,3,15,9,5,5,5,8
4,5,5,9,10,11,4,3,13,7,18,9,17,7,7,11,3,18,15,5,32,12,12,3,9,21,19,22,16,5,22,5,11,3,6,18,7,5,19,15,10,19,19,29,21,21,23,9,13,9
10,8,10,4,8,15,7,9,7,21,5,7,8,18,5,17,3,17,11,15,3,11,25,18,1,7,4,15,11,18,11,2,7,4,11,9,9,5,17,13,19,11,13,23,17,3,10,14,9,13
6,9,5,8,11,9,15,7,3,11,4,5,33,11,11,7,9,10,7,9,3,4,12,8,14,9,14,32,19,17,20,18,16,27,11,18,27,15,5,9,23,19,17,16,25,12,17,17,17,13
7,9,1,3,6,5,10,9,8,13,12,9,5,7,7,32,19,15,3,10,16,15,24,3,7,8,24,13,15,3,11,7,5,19,7,18,5,6,15,9,16,17,15,5,23,18,5,17,9,11
5,5,3,5,3,3,1,5,3,24,7,5,3,9,5,7,9,10,6,21,15,9,28,11,7,9,20,9,13,20,20,1,5,15,15,11,5,17,1,13,12,15,19,15,15,23,27,23,15,13
5,9,8,8,3,3,5,3,11,3,15,3,18,5,15,8,13,13,12,10,17,17,15,3,11,15,5,7,24,5,15,18,12,17,5,9,9,6,28,1,8,19,13,11,15,13,5,7,15,15
7,3,10,5,1,3,11,6,20,3,22,19,7,14,5,3,8,11,15,33,4,9,15,16,18,13,6,9,5,9,17,26,13,4,3,9,27,6,15,13,19,15,5,17,17,7,9,11,2,9
9,7,9,14,10,11,7,10,7,9,12,17,9,5,11,5,3,8,5,3,22,22,15,14,17,7,34,11,7,13,7,12,26,9,15,14,3,18,9,11,15,11,15,13,17,12,11,9,1,23
9,6,6,9,3,9,5,6,7,5,8,10,3,7,13,9,3,14,20,28,21,11,27,7,7,27,25,21,11,1,5,1,19,16,9,17,12,1,7,9,11,27,8,7,10,8,15,5,19,15
3,3,12,5,7,9,3,7,13,2,9,15,21,5,5,3,19,5,5,1,20,12,26,20,17,11,14,19,11,17,15,17,8,11,3,5,4,9,7,15,18,23,27,22,15,10,41,13,15,19
3,5,10,6,19,7,8,9,10,16,5,15,7,16,11,18,9,25,26,7,5,7,7,24,7,11,3,20,9,11,13,13,13,7,3,9,10,5,6,5,14,21,29,17,13,5,17,5,23,5
5,5,13,7,7,6,10,9,3,12,11,11,17,21,9,5,4,7,12,14,9,9,16,9,5,17,15,9,15,16,21,17,4,13,33,17,3,19,19,12,23,11,13,5,9,5,8,23,3,19
4,5,5,17,3,8,1,1,11,5,3,5,9,11,3,31,3,11,6,18,11,5,16,13,17,6,17,5,5,13,7,8,8,2,19,19,15,11,9,7,3,13,10,15,23,19,25,5,23,18
8,4,9,9,10,5,15,5,10,6,7,10,13,9,15,4,19,6,17,17,18,9,11,1,23,21,7,19,6,7,7,2,9,7,11,7,5,8,7,10,29,17,21,7,31,13,1,9,5,9
10,3,7,7,5,7,9,7,7,3,13,9,9,19,7,13,11,17,10,17,14,9,3,5,1,23,20,9,18,12,20,6,18,13,5,9,20,1,11,13,3,5,19,5,17,3,9,3,19,16
7,7,6,6,3,3,7,8,7,9,5,15,9,3,5,5,23,18,5,1,12,11,36,8,20,16,23,15,8,8,7,7,3,13,7,16,17,16,11,17,16,21,18,13,5,13,27,10,21,23
3,7,3,6,3,8,3,11,23,11,3,3,1,17,18,7,15,17,14,3,13,11,7,9,9,9,24,16,9,18,5,14,13,18,10,7,8,18,5,17,9,19,3,21,3,5,12,19,13,3
5,10,9,5,12,14,10,18,3,12,11,5,8,28,15,13,5,3,24,14,3,8,15,7,16,17,3,15,5,16,34,21,6,17,5,14,7,11,9,11,3,13,13,20,11,22,18,28,9,19
3,3,7,4,5,9,6,3,18,13,12,22,7,15,12,9,5,5,15,3,17,23,25,7,3,11,34,23,12,13,29,15,9,14,11,10,9,7,18,17,12,17,3,17,4,11,11,11,21,3
3,11,5,9,7,9,8,7,3,11,9,5,12,3,10,11,1,13,7,17,9,25,10,28,26,3,1,7,20,3,3,16,5,9,10,2,5,7,5,7,11,11,23,17,11,10,12,18,11,17
7,7,12,7,3,11,8,3,22,8,13,9,16,10,22,11,3,17,9,13,10,3,15,13,5,15,5,18,10,19,8,14,25,17,21,14,11,19,9,11,13,16,20,16,8,12,13,31,3,11
8,5,3,14,2,7,7,3,18,11,11,5,17,18,13,9,9,23,8,13,14,21,7,6,13,15,17,9,7,13,13,3,3,6,18,15,22,8,17,2,3,29,13,15,16,12,15,15,27,13
9,2,9,7,7,15,9,11,3,9,5,17,7,5,32,16,11,29,7,3,11,18,15,18,14,9,14,7,5,9,3,16,9,8,7,7,11,17,11,9,11,4,13,21,11,3,31,18,19,5
4,6,12,9,5,10,9,3,18,5,3,11,26,15,1,13,3,7,13,26,10,19,7,2,11,24,12,17,14,12,33,17,22,11,4,8,13,13,12,13,17,15,20,31,11,11,21,23,13,9
2,3,9,5,3,6,10,4,5,20,16,9,3,5,15,8,11,7,13,19,21,21,19,23,9,15,7,11,18,13,8,5,9,26,11,9,9,20,12,7,13,11,10,31,13,5,13,5,19,19
9,3,3,4,11,3,7,5,9,3,1,10,12,14,13,7,7,13,15,9,2,7,16,3,14,15,3,21,3,18,22,14,19,5,11,23,6,15,15,17,27,13,9,8,1,17,5,26,3,23
9,5,3,3,3,5,6,9,6,11,6,11,7,7,5,11,13,18,20,7,12,18,7,11,26,25,3,3,12,31,21,13,4,9,5,13,16,14,7,16,19,19,5,19,17,17,17,5,11,9
7,7,3,6,3,6,7,5,8,3,8,9,8,13,19,17,7,15,13,11,9,7,11,17,1,3,19,27,10,16,18,17,4,9,9,11,18,19,23,15,17,17,17,14,3,13,17,8,19,10
5,8,3,12,7,7,5,11,11,19,15,3,4,24,7,5,18,15,17,12,3,9,6,7,7,15,7,17,3,15,3,24,13,9,1,5,3,17,5,9,7,17,19,17,17,11,10,25,3,13
3,7,3,8,3,11,6,7,5,3,11,18,3,11,13,11,25,16,5,6,7,11,19,11,15,7,35,15,9,15,17,5,11,6,18,9,22,18,5,18,3,1,11,15,10,19,7,6,10,34
6,3,3,6,7,10,11,9,5,17,9,9,3,13,11,5,10,12,10,18,9,5,22,12,9,17,18,8,44,9,19,9,7,16,8,3,30,19,13,27,17,27,20,14,5,17,24,29,23,27
7,6,17,5,7,6,9,9,1,18,11,9,12,4,9,23,7,5,14,20,16,9,19,7,15,10,2,23,2,17,17,11,11,11,7,15,5,4,14,2,16,13,8,5,3,5,16,30,9,1
